CNTSCHID,CNT,STRATUM,SCHSIZE,CLSIZE,STRATIO,SCHLTYPE,REGION,OECD,AGE,ST004D01T,Gender,ISCEDL,ISCEDD,ISCEDO,TEACHSUP,PARED,HEDRES,MISCED,FISCED,HISCED,WEALTH,ESCS,INTBRSCI,INSTSCIE,SCIEEFF,SCIEACT,JOYSCIE,ICTRES,HOMEPOS,HEDRES,CULTPOSS,PV1MATH,PV1READ,PV1SCIE,PV1SCEP,PV1SCED,PV1SCID,PV1SKCO,PV1SKPE,PV1SSPH,PV1SSLI,PV1SSES,AREA
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.58,2,Boys,2,1,1,0.7131,9,-1.0418,1,2,2,-2.0697,-1.7899,NA,0.9798,0.1421,NA,2.1635,-1.5244,-2.0537,-1.0418,-0.7273,439.923,412.29,475.612,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.92,2,Boys,2,1,1,0.0322,12,-2.3041,1,4,4,-1.7903,-1.5423,NA,1.7359,-0.8432,NA,2.1635,-1.9305,-2.2627,-2.3041,-0.2031,406.251,409.598,450.32,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.42,1,Girls,2,1,1,-0.1164,9,-0.7218,1,2,2,-2.1942,-2.0475,NA,-0.2063,-0.1824,NA,-0.1808,-1.6093,-1.9675,-0.7218,-0.222,414.369,384.307,405.787,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.58,1,Girls,2,1,1,-1.1404,5,-1.4595,1,0,1,-2.0301,-2.6136,NA,-0.3115,-1.0555,NA,-0.4318,-1.625,-2.0686,-1.4595,-0.7039,468.801,459.104,462.968,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.92,1,Girls,2,1,1,-0.1128,9,-0.6172,2,2,2,-1.0522,-1.2179,NA,0.7648,-0.1954,NA,1.3031,-0.5305,-0.9471,-0.6172,-0.0971,355.432,402.435,453.736,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,16.25,1,Girls,2,1,1,-0.1164,5,-1.3738,1,1,1,-3.057,-2.8451,NA,0.3708,-0.5652,NA,0.5094,-2.5873,-2.6986,-1.3738,-0.2031,458.955,483.885,529.866,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.5,1,Girls,2,1,1,-0.1128,3,-1.718,0,0,0,-1.9577,-3.0971,NA,0.7648,0.1559,NA,1.3031,-1.8463,-2.4959,-1.718,-1.6287,241.408,379.759,337.25,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.92,1,Girls,2,1,1,-0.1164,5,-0.7218,1,0,1,-1.2749,-2.3882,NA,0.3708,-0.5652,NA,0.5094,-1.3205,-1.4554,-0.7218,-1.6287,442.53,477.973,508.161,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.42,1,Girls,2,1,1,-0.2611,9,-1.0418,2,NA,2,-2.5456,-2.0833,NA,1.356,0.7451,NA,0.5094,-1.7086,-2.2337,-1.0418,-0.4343,488.458,431.469,528.17,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
70400001,VNM,VNM0313,883,18,22.075,3,SOUTH,0,15.58,2,Boys,2,1,1,0.1905,5,-1.718,1,0,1,-2.718,-3.0454,NA,1.0728,-1.0494,NA,0.8225,-3.2718,-3.1311,-1.718,-1.6287,362.771,383.802,398.424,NA,NA,NA,NA,NA,NA,NA,NA,URBAN
